time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z
3.409385681152344e-05,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
0.0002682209014892578,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
0.0007429122924804688,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
0.1696162223815918,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
0.6105606555938721,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
1.0342488288879395,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
1.469254732131958,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
1.9154090881347656,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
2.36883544921875,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
2.7774410247802734,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
3.2271199226379395,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
3.6471757888793945,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
4.087905645370483,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
4.527308940887451,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
4.950636863708496,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
5.382197856903076,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
5.823407173156738,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
6.249021768569946,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
6.695814847946167,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
7.12351131439209,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
7.578043222427368,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
8.010830163955688,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
8.422770261764526,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
8.853711605072021,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
9.30138874053955,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
9.730226755142212,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
10.168607234954834,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
10.604114770889282,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
11.0316162109375,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
11.473747253417969,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
11.914886236190796,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
12.389495372772217,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
12.792141914367676,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
13.208557605743408,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
13.634670495986938,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
14.07144546508789,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
14.506787300109863,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
14.933074235916138,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
15.37520718574524,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
15.810393810272217,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
16.235519886016846,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
16.67400550842285,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
17.134892225265503,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
17.57017421722412,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
17.987340688705444,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
18.423854112625122,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
18.875659227371216,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
19.30826711654663,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
19.739954710006714,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
20.14280390739441,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
20.57562828063965,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
21.029937505722046,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
21.45274829864502,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
21.92829966545105,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
22.391607999801636,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
22.798991680145264,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
23.190776348114014,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
23.8009090423584,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
24.521106958389282,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
24.592429637908936,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
24.993260622024536,2.4073916363101304,3.5672132685584246,0.0,0.0,0.0,0.0
25.38260245323181,2.407384808852415,3.5673581671029533,0.0,-1.568337606493045e-05,0.0003328469336308526,0.0
25.875656604766846,2.407384808852415,3.5673581671029533,0.0,0.0,0.0,0.0
26.246907711029053,2.407384808852415,3.5673581671029533,0.0,0.0,0.0,0.0
26.721062660217285,2.407384808852415,3.5673581671029533,0.0,0.0,0.0,0.0
